flat,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,hawker,hawker_dist,num_hawker_2km,school,school_dist,num_school_2km
1 TELOK BLANGAH CRES,REDHILL MRT STATION,1.124,6,0.244,20,Blk 11 Telok Blangah Crescent,0.246,7,Gan Eng Seng Primary School,0.727,6
119 MCNAIR RD,BOON KENG MRT STATION,0.536,13,0.35,29,Pek Kio Market & Food Centre,0.838,7,Hong Wen School,0.241,5
465 TAMPINES ST 44,TAMPINES EAST MRT STATION,0.376,5,0.189,19,Market Street Food Centre,1.928,1,Tampines North Primary School,0.668,12
856C TAMPINES ST 82,TAMPINES MRT STATION,0.669,5,0.469,12,Market Street Food Centre,1.112,1,Junyuan Primary School,0.544,9
146 POTONG PASIR AVE 1,POTONG PASIR MRT STATION,0.206,6,0.09,16,Blk 75 Toa Payoh Lorong 5,1.657,4,Cedar Primary School,1.022,9
222 PENDING RD,PENDING LRT STATION,0.329,13,0.318,10,Bukit Timah Market,3.96,0,Bukit Panjang Primary School,0.554,7
474 SEMBAWANG DR,SEMBAWANG MRT STATION,0.431,1,0.237,13,Chong Pang Market & Food Centre,2.464,0,Canberra Primary School,0.102,7
450 HOUGANG AVE 10,BUANGKOK MRT STATION,0.506,12,0.343,17,Market Street Food Centre,2.459,0,Punggol Primary School,0.194,16
117 LOR 1 TOA PAYOH,BRADDELL MRT STATION,0.162,7,0.814,14,Blk 93 Toa Payoh Lorong 4,0.487,6,Kheng Cheng School,0.354,10
242 KIM KEAT LINK,TOA PAYOH MRT STATION,0.976,8,0.306,20,Blk 75 Toa Payoh Lorong 5,0.752,6,Pei Chun Public School,0.831,7
572A WOODLANDS AVE 1,WOODLANDS MRT STATION,0.602,5,0.102,11,Blks 20/21 Marsiling Lane,1.972,2,Innova Primary School,0.241,11
484 TAMPINES ST 43,TAMPINES EAST MRT STATION,0.668,4,0.182,18,Market Street Food Centre,2.033,0,Tampines North Primary School,0.463,13
906 TAMPINES AVE 4,TAMPINES WEST MRT STATION,0.557,6,0.469,14,Market Street Food Centre,0.749,1,Junyuan Primary School,0.282,11
255 SIMEI ST 1,SIMEI MRT STATION,0.196,9,0.144,17,Market Street Food Centre,0.858,1,Changkat Primary School,0.246,8
